scene_idx,v2i_network,n_vehicles,chosen_leader,is_leader,vehicle_id,queue_length,t_pair_avg_s,t_fuse_avg_s,D_hat_proc_s,D_hat_v2i_s,D_hat_total_s
8,4G,3,2,False,0,0,0.0027938932015332428,0.0010411605074290488,0.006628946910495534,0.0618086458,0.06843759271049553
8,4G,3,2,False,1,2,0.0028885945378263897,0.0008510783943954306,0.01240545654570099,0.0618086458,0.07421410234570099
8,4G,3,2,True,2,0,0.0027994284489988018,0.001029217054796212,0.006628073952793816,0.0618086458,0.06843671975279382
9,4G,3,1,False,0,0,0.0029854862822735447,0.0011033165339563542,0.007074289098503443,0.0618086458,0.06888293489850345
9,4G,3,1,True,1,0,0.002961136891980044,0.0010265314516617941,0.006948805235621882,0.0618086458,0.06875745103562188
9,4G,3,1,False,2,1,0.002994682615618981,0.001004094097893916,0.009988141944750858,0.0618086458,0.07179678774475086
10,4G,3,2,False,0,0,0.003178136614512756,0.0009340113157397676,0.00729028454476528,0.0618086458,0.06909893034476527
10,4G,3,2,False,1,2,0.0031768228869836295,0.00105764115939371,0.013764932707328228,0.0618086458,0.07557357850732822
10,4G,3,2,True,2,0,0.0030112590854110026,0.0008993882144139227,0.006921906385235928,0.0618086458,0.06873055218523592
11,4G,3,0,True,0,0,0.0028527554695710953,0.001072973351410185,0.006778484290552376,0.0618086458,0.06858713009055238
11,4G,3,0,False,1,0,0.0030617980583755216,0.0010450672015046652,0.007168663318255709,0.0618086458,0.06897730911825571
11,4G,3,0,False,2,0,0.0031660015596947913,0.0009713068564381249,0.007303309975827708,0.0618086458,0.06911195577582771
12,4G,3,0,True,0,0,0.0029815986806330406,0.0010321577632148894,0.006995355124480971,0.0618086458,0.06880400092448097
12,4G,3,0,False,1,2,0.0028610916718678743,0.0008218444747120019,0.012266211162183498,0.0618086458,0.0740748569621835
12,4G,3,0,False,2,0,0.003046308204731038,0.0009820546372539098,0.0070746710467159855,0.0618086458,0.06888331684671599
13,4G,3,2,False,0,2,0.003018539191605776,0.0011188729159348429,0.013193029682357948,0.0618086458,0.07500167548235795
13,4G,3,2,False,1,2,0.0030418193452000464,0.0009083770522487613,0.013075654433048946,0.0618086458,0.07488430023304894
13,4G,3,2,True,2,1,0.0031302629693839576,0.0010893425641803176,0.010480131472332191,0.0618086458,0.07228877727233218
14,4G,3,2,False,0,2,0.0031018353068982285,0.0010755868988211344,0.013482928126414048,0.0618086458,0.07529157392641404
14,4G,3,2,False,1,2,0.0030070693222293892,0.0010698325947592086,0.013098109883676766,0.0618086458,0.07490675568367676
14,4G,3,2,True,2,1,0.0030874501984457176,0.0010598159250659266,0.01032216652040308,0.0618086458,0.07213081232040308
15,4G,3,0,True,0,0,0.002868715247876157,0.001080557366649451,0.006817987862401766,0.0618086458,0.06862663366240176
15,4G,3,0,False,1,0,0.002957136560115366,0.0010611517342640972,0.006975424854494829,0.0618086458,0.06878407065449482
15,4G,3,0,False,2,0,0.0031523419286799336,0.0009767229282783545,0.007281406785638222,0.0618086458,0.06909005258563822
16,4G,3,2,False,0,1,0.003042409853535516,0.0009681449526593444,0.010095374513265892,0.0618086458,0.0719040203132659
16,4G,3,2,False,1,1,0.0029141104520357996,0.0010094665943207646,0.009751797950428165,0.0618086458,0.07156044375042817
16,4G,3,2,True,2,0,0.0032004878396420626,0.0010548141009704363,0.0074557897802545615,0.0618086458,0.06926443558025457
17,4G,3,0,True,0,0,0.00295490279083439,0.0008835305434946622,0.006793336125163442,0.0618086458,0.06860198192516344
17,4G,3,0,False,1,1,0.0030873002702289333,0.0010127158219587658,0.010274616632645565,0.0618086458,0.07208326243264557
17,4G,3,0,False,2,2,0.00299637586131906,0.0009137330649060703,0.01289923651018231,0.0618086458,0.07470788231018231
18,4G,3,2,False,0,1,0.002853141467315931,0.001037985596382872,0.009597409998330666,0.0618086458,0.07140605579833066
18,4G,3,2,False,1,1,0.0030458253732116897,0.00100585027442932,0.01014332639406439,0.0618086458,0.07195197219406439
18,4G,3,2,True,2,0,0.0029310551533241695,0.0009499461581767236,0.0068120564648250625,0.0618086458,0.06862070226482506
19,4G,3,2,False,0,1,0.0031077432551341842,0.0011786896664544144,0.010501919431856967,0.0618086458,0.07231056523185697
19,4G,3,2,False,1,0,0.0030080489049605784,0.0011951769451028992,0.007211274755024056,0.0618086458,0.06901992055502405
